eps_t,dt,opt_factor,grad_factor,energy_factor,stddev,|e-norm(H)|
0.00053175,0.010000000000000009,0.00052264,0.00221567,0.00018458,0.17323336,2.43455575
0.00054664,0.010000000000000009,0.00053727,0.00115584,0.00018654,0.17028727,2.43515114
0.00055069,0.010000000000000009,0.00054125,0.00160922,0.00018473,0.16738829,2.43572686
0.00055919,0.010000000000000009,0.0005496,0.00104079,0.0001844,0.1645381,2.43628307
0.00056185,0.010000000000000009,0.00055221,0.00061585,0.00018213,0.16173478,2.43682068
0.00056019,0.010000000000000009,0.00055057,0.00116047,0.0001785,0.15897838,2.43734015
0.00056396,0.010000000000000009,0.00055428,0.00052801,0.00017665,0.15626917,2.43784189
0.00056133,0.010000000000000009,0.00055169,0.00065987,0.00017283,0.15360553,2.43832667
0.00056002,0.010000000000000009,0.0005504,0.00069516,0.00016949,0.15098523,2.43879535
0.00055904,0.010000000000000009,0.00054944,0.00088184,0.00016632,0.14841071,2.43924789
0.00055992,0.010000000000000009,0.0005503,0.00065524,0.00016374,0.14587872,2.43968529
0.00055849,0.010000000000000009,0.0005489,0.0005372,0.00016054,0.14338924,2.44010794
0.00055587,0.010000000000000009,0.00054632,0.00022016,0.00015707,0.14094363,2.44051599
0.00055009,0.010000000000000009,0.00054064,0.00016708,0.00015279,0.13854064,2.44091003
0.00054384,0.010000000000000009,0.00053449,0.00028949,0.00014848,0.13617649,2.44129106
0.00053887,0.010000000000000009,0.00052961,0.00012417,0.00014461,0.13385177,2.44165932
0.00053229,0.010000000000000009,0.00052314,0.00011446,0.00014041,0.13156649,2.44201511
0.00052569,0.010000000000000009,0.00051665,0.00067541,0.0001363,0.12932084,2.44235873
0.00052477,0.010000000000000009,0.00051574,0.00013893,0.00013375,0.12711354,2.44269071
0.00051847,0.010000000000000009,0.00050956,0.00014835,0.00012989,0.124944,2.44301142
0.00051234,0.010000000000000009,0.00050353,6.682e-05,0.00012616,0.12281135,2.44332128
0.00050546,0.010000000000000009,0.00049677,0.000354,0.00012234,0.12071384,2.44362084
0.00050153,0.010000000000000009,0.0004929,2.605e-05,0.00011932,0.11865333,2.44391008
0.00049436,0.010000000000000009,0.00048586,0.00013804,0.00011561,0.11662705,2.44418966
0.00048839,0.010000000000000009,0.00048,6.274e-05,0.00011227,0.11463602,2.44445968
0.00048175,0.010000000000000009,0.00047346,8.554e-05,0.00010885,0.11267908,2.44472056
0.00047541,0.010000000000000009,0.00046723,2.861e-05,0.00010558,0.11075608,2.44497254
0.00046857,0.010000000000000009,0.00046051,0.00010934,0.00010229,0.10886488,2.44521614
0.00046263,0.010000000000000009,0.00045468,0.00011251,9.927e-05,0.10700662,2.44545141
0.00045679,0.009999999999999787,0.00044894,2.315e-05,9.635e-05,0.10517983,2.44567877
0.00045014,0.009999999999999787,0.0004424,5.981e-05,9.332e-05,0.1033844,2.44589843
0.00044393,0.009999999999999787,0.0004363,5.734e-05,9.046e-05,0.1016197,2.44611065
0.00043777,0.009999999999999787,0.00043025,8.523e-05,8.769e-05,0.09988533,2.44631568
0.00043198,0.009999999999999787,0.00042455,4.092e-05,8.505e-05,0.09818072,2.44651378
0.00042581,0.009999999999999787,0.0004185,0.00016779,8.241e-05,0.0965052,2.44670518
0.000421,0.009999999999999787,0.00041376,0.00010491,8.009e-05,0.09485849,2.44689011
0.00041561,0.009999999999999787,0.00040847,8.743e-05,7.772e-05,0.09324067,2.44706871
0.00041012,0.009999999999999787,0.00040308,9.558e-05,7.538e-05,0.09165031,2.4472413
0.00040479,0.009999999999999787,0.00039783,2.872e-05,7.313e-05,0.09008717,2.44740806
0.00039885,0.009999999999999787,0.000392,6.5e-06,7.083e-05,0.08855085,2.44756919
0.00039277,0.009999999999999787,0.00038603,6.48e-06,6.856e-05,0.08704084,2.44772487
0.00038678,0.009999999999999787,0.00038014,3.929e-05,6.637e-05,0.08555724,2.44787525
0.00038119,0.009999999999999787,0.00037465,7.57e-06,6.429e-05,0.08409884,2.44802057
0.00037537,0.009999999999999787,0.00036892,3.394e-05,6.223e-05,0.08266561,2.44816097
0.00036988,0.009999999999999787,0.00036353,2.064e-05,6.028e-05,0.08125756,2.44829658
0.00036434,0.009999999999999787,0.00035809,2.973e-05,5.837e-05,0.07987369,2.4484276
0.00035897,0.009999999999999787,0.00035281,2.574e-05,5.653e-05,0.07851361,2.4485542
0.00035364,0.009999999999999787,0.00034757,1.316e-05,5.474e-05,0.07717646,2.44867656
0.00034825,0.009999999999999787,0.00034227,1.658e-05,5.299e-05,0.07586294,2.44879474
0.00034297,0.009999999999999787,0.00033709,1.005e-05,5.13e-05,0.07457143,2.44890897
0.0003377,0.009999999999999787,0.00033191,2.133e-05,4.965e-05,0.07330256,2.44901932
0.00033262,0.009999999999999787,0.00032692,1.207e-05,4.807e-05,0.07205531,2.44912595
0.00032752,0.009999999999999787,0.0003219,4.88e-06,4.653e-05,0.07082921,2.44922902
0.00032242,0.009999999999999787,0.00031689,7.2e-06,4.502e-05,0.06962433,2.44932859
0.00031741,0.009999999999999787,0.00031198,1.296e-05,4.357e-05,0.0684404,2.44942479
0.00031254,0.009999999999999787,0.00030719,8.69e-06,4.217e-05,0.06727668,2.44951775
0.0003077,0.009999999999999787,0.00030243,2.366e-05,4.081e-05,0.06613292,2.44960758
0.00030307,0.009999999999999787,0.00029788,2.433e-05,3.952e-05,0.06500877,2.44969439
0.00029852,0.009999999999999787,0.00029341,6.42e-06,3.826e-05,0.06390412,2.44977826
0.00029385,0.009999999999999787,0.00028882,2.468e-05,3.702e-05,0.06281847,2.4498593
0.00028944,0.009999999999999787,0.00028449,2.84e-06,3.585e-05,0.06175116,2.44993764
0.00028487,0.009999999999999787,0.00028,3.06e-06,3.468e-05,0.06070254,2.45001331
0.00028038,0.009999999999999787,0.00027558,9.25e-06,3.356e-05,0.05967181,2.45008644
0.00027601,0.009999999999999787,0.00027129,3.29e-06,3.247e-05,0.05865879,2.45015711
0.00027164,0.009999999999999787,0.000267,2.98e-06,3.142e-05,0.0576633,2.4502254
0.00026734,0.009999999999999787,0.00026277,3.9e-06,3.04e-05,0.05668477,2.45029139
0.00026312,0.009999999999999787,0.00025862,5.94e-06,2.941e-05,0.0557233,2.45035515
0.00025897,0.009999999999999787,0.00025455,1.037e-05,2.845e-05,0.0547784,2.45041676
0.00025493,0.009999999999999787,0.00025058,6.41e-06,2.754e-05,0.0538495,2.45047631
0.00025092,0.009999999999999787,0.00024663,2.47e-06,2.664e-05,0.05293665,2.45053385
0.00024692,0.009999999999999787,0.0002427,5.25e-06,2.577e-05,0.05203946,2.45058946
0.00024301,0.009999999999999787,0.00023887,7.89e-06,2.494e-05,0.05115757,2.45064321
0.00023919,0.009999999999999787,0.00023511,5.13e-06,2.413e-05,0.05029107,2.45069513
0.0002354,0.009999999999999787,0.00023139,3.02e-06,2.334e-05,0.04943933,2.45074532
0.00023165,0.009999999999999787,0.0002277,5.38e-06,2.258e-05,0.04860222,2.45079382
0.00022798,0.009999999999999787,0.00022409,7.69e-06,2.185e-05,0.0477794,2.45084069
0.00022438,0.009999999999999787,0.00022055,3.7e-06,2.114e-05,0.04697073,2.45088599
0.0002208,0.009999999999999787,0.00021704,4.43e-06,2.045e-05,0.04617594,2.45092977
0.00021729,0.009999999999999787,0.00021358,2.43e-06,1.979e-05,0.04539467,2.45097209
0.0002138,0.009999999999999787,0.00021016,3.76e-06,1.914e-05,0.04462684,2.45101298
0.00021039,0.009999999999999787,0.0002068,3.9e-06,1.851e-05,0.04387231,2.4510525
0.00020703,0.009999999999999787,0.0002035,3.35e-06,1.791e-05,0.04313081,2.45109068
0.00020371,0.009999999999999787,0.00020024,3.94e-06,1.733e-05,0.04240194,2.45112759
0.00020046,0.009999999999999787,0.00019704,2.82e-06,1.676e-05,0.04168543,2.45116326
0.00019724,0.009999999999999787,0.00019388,2.63e-06,1.621e-05,0.04098125,2.45119774
0.00019407,0.009999999999999787,0.00019077,3.76e-06,1.568e-05,0.04028914,2.45123107
0.00019096,0.009999999999999787,0.00018771,3.09e-06,1.517e-05,0.03960882,2.45126328
0.00018789,0.009999999999999787,0.0001847,4.09e-06,1.468e-05,0.03894021,2.4512944
0.00018488,0.009999999999999787,0.00018174,2.31e-06,1.42e-05,0.03828295,2.45132449
0.00018191,0.009999999999999787,0.00017881,2.64e-06,1.373e-05,0.03763701,2.45135357
0.00017898,0.009999999999999787,0.00017593,3.18e-06,1.328e-05,0.03700212,2.45138168
0.0001761,0.009999999999999787,0.0001731,3.36e-06,1.285e-05,0.03637808,2.45140884
0.00017327,0.009999999999999787,0.00017032,2.92e-06,1.243e-05,0.03576474,2.4514351
0.00017048,0.009999999999999787,0.00016758,2.75e-06,1.202e-05,0.03516185,2.45146048
0.00016773,0.009999999999999787,0.00016488,2.2e-06,1.163e-05,0.03456928,2.45148501
0.00016502,0.009999999999999787,0.00016221,1.91e-06,1.125e-05,0.03398684,2.45150872
0.00016235,0.009999999999999787,0.00015959,2.21e-06,1.088e-05,0.03341426,2.45153164
